step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,momentum
6753,2023-07-03 13:32:32.595072837,SELL,192.09034977009665,175.87331614177012,AAPL,-0.48880187214217885,0.32126487214217886,0.0,0.167537,-0.9999999999990905
6754,2023-07-03 13:32:32.595072837,SELL,193.65646090823793,212.27421182445678,AAPL,-0.23937400928926905,0.07183700928926906,0.0,0.167537,-0.9999999999990905
6809,2023-07-03 13:32:38.898263200,SELL,197.91164423190816,206.1071648300541,AAPL,-0.18963621820430157,0.025398218204301576,0.0,0.164238,-1.0000000000019327
6811,2023-07-03 13:32:39.073157876,SELL,192.5591918262079,70.67243578308526,AAPL,-0.5030503160195399,0.3379013160195398,0.0,0.165149,-2.000000000001023
6812,2023-07-03 13:32:39.787215191,SELL,194.96611229790386,172.23434621163582,AAPL,-0.27605887281722563,0.1015928728172063,0.010000000000019327,0.164466,-2.000000000001023
6813,2023-07-03 13:32:40.112681234,SELL,194.09782489118746,202.86566169457845,AAPL,-0.27597587281722563,0.1015928728172063,0.010000000000019327,0.164383,-2.000000000001023
6895,2023-07-03 13:32:52.067686313,BUY,192.7004471036587,85.26192576088107,AAPL,-0.5468470464463271,0.35918504644634525,0.01999999999998181,0.167662,3.0000000000001137
6896,2023-07-03 13:32:52.067686313,BUY,201.43821697746137,127.50861195632207,AAPL,-0.2130602182042834,0.025398218204301576,0.01999999999998181,0.167662,3.0000000000001137
6897,2023-07-03 13:32:52.067686313,BUY,203.03025818063574,126.39726333903403,AAPL,-0.2679782180355265,0.08031621803554471,0.01999999999998181,0.167662,3.0000000000001137
6898,2023-07-03 13:32:52.582821386,BUY,201.8036117772619,182.99716188281315,AAPL,-0.4280801820430351,0.25398218204301576,0.010000000000019327,0.164098,1.999999999998181
6899,2023-07-03 13:32:52.914355688,BUY,202.92932603771519,191.1171775425137,AAPL,-0.44866618167545547,0.2735471816754555,0.0,0.175119,3.0000000000001137
6900,2023-07-03 13:32:52.914568858,BUY,200.89662930978056,207.48619882839938,AAPL,-0.5160251936899852,0.3445181936899852,0.0,0.171507,3.0000000000001137
6902,2023-07-03 13:32:53.506900711,BUY,188.34924528495512,218.28483656098717,AAPL,-0.24197700435157224,0.04399100435157111,0.030000000000001137,0.167986,2.000000000001023
6903,2023-07-03 13:32:53.506900711,BUY,196.15455520913713,160.51392227877278,AAPL,-0.37757852322317376,0.17959252322317262,0.030000000000001137,0.167986,1.0000000000019327
6938,2023-07-03 13:32:59.652588457,SELL,184.8897217953548,71.02452531572357,AAPL,-0.2495523601272424,0.08423636012724241,0.0,0.165316,-2.000000000001023
6939,2023-07-03 13:32:59.653971956,SELL,197.5913849116755,180.55805569989585,AAPL,-0.32614929419727284,0.14141129419729104,0.01999999999998181,0.164738,-3.999999999999204
6940,2023-07-03 13:33:00.368877215,SELL,190.13742497991507,138.36783672398508,AAPL,-0.20029750464463453,0.03591850464463453,0.0,0.164379,-3.0000000000001137
6941,2023-07-03 13:33:00.369389502,SELL,202.84294347049135,150.7105453054656,AAPL,-0.41717853251244164,0.25142953251244166,0.0,0.165749,-3.0000000000001137
6942,2023-07-03 13:33:00.369389502,SELL,199.151788524726,63.634380342616325,AAPL,-0.20166750464463454,0.03591850464463453,0.0,0.165749,-5.000000000001137
6943,2023-07-03 13:33:00.369421944,SELL,194.6698203193268,84.66431740569344,AAPL,-0.3120717885640667,0.1480957885640667,0.0,0.163976,-5.000000000001137
6944,2023-07-03 13:33:00.369469444,SELL,194.69540985529505,132.48938419409228,AAPL,-0.25618357804103226,0.09157457804103226,0.0,0.164609,-3.0000000000001137
6946,2023-07-03 13:33:00.370577319,SELL,202.32406155187866,203.61248593792888,AAPL,-0.41867018204301576,0.25398218204301576,0.0,0.164688,-1.0000000000019327
6947,2023-07-03 13:33:00.466400172,SELL,200.22705927157344,126.25062994603864,AAPL,-0.4193621820430158,0.25398218204301576,0.0,0.16538,-2.000000000001023
6951,2023-07-03 13:33:00.466774453,SELL,186.2443577057362,107.33729409603411,AAPL,-0.24918721803554472,0.08031621803554471,0.0,0.168871,-1.999999999998181
6983,2023-07-03 13:33:02.742749434,BUY,185.09342034688177,79.92937813211381,AAPL,-0.43069918204300667,0.25398218204301576,0.009999999999990905,0.166717,0.9999999999990905
6984,2023-07-03 13:33:02.743211734,BUY,202.8770287413356,170.03331131879312,AAPL,-0.4271530803817182,0.25270908038172724,0.009999999999990905,0.164444,2.000000000001023
6985,2023-07-03 13:33:02.743371865,BUY,202.7449113606995,167.62594824409,AAPL,-0.20009021820429249,0.025398218204301576,0.009999999999990905,0.164692,2.000000000001023
6986,2023-07-03 13:33:03.189010053,BUY,202.98568802033586,112.36265695271668,AAPL,-0.219497004351562,0.04399100435157111,0.009999999999990905,0.165506,2.000000000001023
6987,2023-07-03 13:33:03.189449953,BUY,185.55071037993835,121.47488381817821,AAPL,-0.2935315139338854,0.10775551393390358,0.01999999999998181,0.165776,1.0000000000019327
6988,2023-07-03 13:33:03.434790835,BUY,185.24541777082595,90.51629242508994,AAPL,-0.42044130125323753,0.2257443012532364,0.030000000000001137,0.164697,1.0000000000019327
6989,2023-07-03 13:33:04.308064686,BUY,197.52145413089627,136.73519785738264,AAPL,-0.3637015232231544,0.17959252322317262,0.01999999999998181,0.164109,1.0000000000019327
6990,2023-07-03 13:33:04.455304253,BUY,185.9455535440286,137.60845489541708,AAPL,-0.5363268894065765,0.36008188940658553,0.009999999999990905,0.166245,1.0000000000019327
6991,2023-07-03 13:33:04.455315423,BUY,201.49667348693134,57.98817688685951,AAPL,-0.5791472146764036,0.4031842146764127,0.009999999999990905,0.165963,1.0000000000019327
7008,2023-07-03 13:33:05.375211794,SELL,201.9741268473352,49.292257760044755,AAPL,-0.3404070968449926,0.1722590968449926,0.0,0.168148,-1.0000000000019327
7009,2023-07-03 13:33:05.375238731,SELL,202.5851454209039,122.49630992469501,AAPL,-0.20208950464463454,0.03591850464463453,0.0,0.166171,-1.0000000000019327
7010,2023-07-03 13:33:05.375241671,SELL,197.73905575366422,204.76188153157028,AAPL,-0.3488471560820645,0.18314915608206453,0.0,0.165698,-1.0000000000019327
7011,2023-07-03 13:33:05.375241671,SELL,191.09075129438278,104.32428948372457,AAPL,-0.1910962182043016,0.025398218204301576,0.0,0.165698,-1.0000000000019327
7012,2023-07-03 13:33:05.375900183,SELL,186.31678626006985,208.26071521417919,AAPL,-0.34529352322317264,0.17959252322317262,0.0,0.165701,-0.9999999999990905
7013,2023-07-03 13:33:05.375900183,SELL,184.68471442913815,174.62926952903217,AAPL,-0.23753800928926905,0.07183700928926906,0.0,0.165701,-0.9999999999990905
7014,2023-07-03 13:33:05.375930394,SELL,198.56121090426316,63.22005316132179,AAPL,-0.40870015100032897,0.24361115100032896,0.0,0.165089,-0.9999999999990905
7015,2023-07-03 13:33:05.376050585,SELL,184.21182880511444,210.2207864555915,AAPL,-0.29387201023422127,0.12950601023422126,0.0,0.164366,-0.9999999999990905
7061,2023-07-03 13:33:05.626236669,BUY,200.2514318833533,123.19580401288619,AAPL,-0.3087983499528216,0.12442534995281139,0.020000000000010232,0.164373,3.999999999999204
7062,2023-07-03 13:33:05.626829136,BUY,183.95332799441886,92.65418772519016,AAPL,-0.30880834995282164,0.12442534995281139,0.020000000000010232,0.164383,3.999999999999204
7063,2023-07-03 13:33:05.627422176,BUY,186.08155348752322,174.56190331127104,AAPL,-0.32807101857854837,0.14367401857853812,0.020000000000010232,0.164397,3.999999999999204
