step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
665,2023-07-03 08:45:44.920212959,2,193.82,254.0,-0.11160623075502138,0.09503143075502138,0.0,0.0165748
683,2023-07-03 08:48:37.565117559,2,193.8,175.0,-0.06726563640860315,0.05079643640860315,0.0,0.0164692
691,2023-07-03 08:50:49.558331490,2,193.8,115.0,-0.1756249703093535,0.13911177030934327,0.020000000000010232,0.0165132
872,2023-07-03 09:11:19.261428427,1,193.79,221.0,-0.19116526638367998,0.16459926638366065,0.010000000000019327,0.016566
885,2023-07-03 09:12:33.094328546,1,193.85,69.0,-0.09688191803554472,0.08031621803554471,0.0,0.0165657
886,2023-07-03 09:12:33.094328546,1,193.85,156.0,-0.09276035461290473,0.07619465461290473,0.0,0.0165657
907,2023-07-03 09:16:17.756194963,1,193.79,254.0,-0.12728671803554586,0.08031621803554471,0.030000000000001137,0.0169705
982,2023-07-03 09:30:16.768913671,1,193.79,226.0,-0.09765111803554472,0.08031621803554471,0.0,0.0173349
994,2023-07-03 09:31:48.529075852,2,193.71,252.0,-0.14406364241218414,0.056792142412190966,0.06999999999999318,0.0172715
999,2023-07-03 09:32:29.274360186,2,193.71,112.0,-0.22307335450150761,0.16654725450151556,0.03999999999999204,0.0165261
1011,2023-07-03 09:34:12.147908013,1,193.7,100.0,-0.09257931820431295,0.025398218204301576,0.05000000000001137,0.0171811
1029,2023-07-03 09:37:24.755335369,1,193.65,246.0,-0.384769858562017,0.3582859585620261,0.009999999999990905,0.0164839
1048,2023-07-03 09:38:37.111008068,2,193.6,190.0,-0.29063708204302596,0.25398218204301576,0.020000000000010232,0.0166549
1058,2023-07-03 09:39:12.072105896,1,193.6,58.0,-0.06183111820431181,0.025398218204301576,0.020000000000010232,0.0164329
1070,2023-07-03 09:39:52.302331493,1,193.62,227.0,-0.04183451820430158,0.025398218204301576,0.0,0.0164363
1106,2023-07-03 09:41:51.958487229,2,193.5,225.0,-0.11213041820429476,0.025398218204301576,0.06999999999999318,0.0167322
1107,2023-07-03 09:42:14.311397876,1,193.5,71.0,-0.08222821820429362,0.025398218204301576,0.03999999999999204,0.01683
1112,2023-07-03 09:42:52.280573770,2,193.55,127.0,-0.21616952322315444,0.17959252322317262,0.01999999999998181,0.016577
1115,2023-07-03 09:42:55.169524654,2,193.55,109.0,-0.7834726072448613,0.7469840072448796,0.01999999999998181,0.0164886
1159,2023-07-03 09:52:22.671494945,1,193.6,225.0,-0.11699611803555494,0.08031621803554471,0.020000000000010232,0.0166799
1176,2023-07-03 09:58:22.390622663,2,193.62,185.0,-0.04185941820430157,0.025398218204301576,0.0,0.0164612
1241,2023-07-03 10:04:57.609134588,1,193.55,175.0,-0.2591808364086009,0.05079643640860315,0.18999999999999773,0.0183844
1261,2023-07-03 10:05:00.755824002,2,193.5,235.0,-0.19134890435156657,0.04399100435157111,0.12999999999999545,0.0173579
1272,2023-07-03 10:05:20.233014340,1,193.5,66.0,-0.11246641820429476,0.025398218204301576,0.06999999999999318,0.0170682
